"session_date","session_month","session_week","session_count","week_txn_counts"
"2025-01-01","1","1","325","168290529"
"2025-01-01","1","1","4","168290529"
"2025-01-01","1","1","61","168290529"
"2025-01-01","1","1","41","168290529"
"2025-01-01","1","1","47","168290529"
"2025-01-01","1","1","109","168290529"
"2025-01-01","1","1","17","168290529"
"2025-01-01","1","1","67","168290529"
"2025-01-01","1","1","84","168290529"
"2025-01-01","1","1","1","168290529"
"2025-01-01","1","1","40","168290529"
"2025-01-01","1","1","24","168290529"
"2025-01-01","1","1","119","168290529"
"2025-01-01","1","1","44","168290529"
"2025-01-01","1","1","99","168290529"
"2025-01-01","1","1","81","168290529"
"2025-01-01","1","1","51","168290529"
"2025-01-01","1","1","91","168290529"
"2025-01-01","1","1","36","168290529"
"2025-01-01","1","1","112","168290529"
"2025-01-01","1","1","215","168290529"
"2025-01-01","1","1","98","168290529"
"2025-01-01","1","1","59","168290529"
"2025-01-01","1","1","34","168290529"
"2025-01-01","1","1","43","168290529"
"2025-01-01","1","1","56","168290529"
"2025-01-01","1","1","38","168290529"
"2025-01-01","1","1","240","168290529"
"2025-01-01","1","1","123","168290529"
"2025-01-01","1","1","2","168290529"
"2025-01-01","1","1","429","168290529"
"2025-01-01","1","1","60","168290529"
"2025-01-01","1","1","72","168290529"
"2025-01-01","1","1","55","168290529"
"2025-01-01","1","1","120","168290529"
"2025-01-01","1","1","519","168290529"
"2025-01-01","1","1","22","168290529"
"2025-01-01","1","1","23","168290529"
"2025-01-01","1","1","19","168290529"
"2025-01-01","1","1","100","168290529"
"2025-01-01","1","1","11","168290529"
"2025-01-01","1","1","74","168290529"
"2025-01-01","1","1","83","168290529"
"2025-01-01","1","1","49","168290529"
"2025-01-01","1","1","153","168290529"
"2025-01-01","1","1","65","168290529"
"2025-01-01","1","1","8","168290529"
"2025-01-01","1","1","103","168290529"
"2025-01-01","1","1","68","168290529"
"2025-01-01","1","1","27","168290529"
"2025-01-01","1","1","53","168290529"
"2025-01-01","1","1","33","168290529"
"2025-01-01","1","1","118","168290529"
"2025-01-01","1","1","78","168290529"
"2025-01-01","1","1","97","168290529"
"2025-01-01","1","1","14","168290529"
"2025-01-01","1","1","228","168290529"
"2025-01-01","1","1","20","168290529"
"2025-01-01","1","1","311","168290529"
"2025-01-01","1","1","63","168290529"
"2025-01-01","1","1","37","168290529"
"2025-01-01","1","1","336","168290529"
"2025-01-01","1","1","58","168290529"
"2025-01-01","1","1","32","168290529"
"2025-01-01","1","1","136","168290529"
"2025-01-01","1","1","39","168290529"
"2025-01-01","1","1","25","168290529"
"2025-01-01","1","1","57","168290529"
"2025-01-01","1","1","77","168290529"
"2025-01-01","1","1","45","168290529"
"2025-01-01","1","1","80","168290529"
"2025-01-01","1","1","10","168290529"
"2025-01-01","1","1","130","168290529"
"2025-01-01","1","1","54","168290529"
"2025-01-01","1","1","35","168290529"
"2025-01-01","1","1","15","168290529"
"2025-01-01","1","1","26","168290529"
"2025-01-01","1","1","12","168290529"
"2025-01-01","1","1","82","168290529"
"2025-01-01","1","1","5","168290529"
"2025-01-01","1","1","76","168290529"
"2025-01-01","1","1","30","168290529"
"2025-01-01","1","1","18","168290529"
